'arf             	fél/fele         
mollification    	enyhítés         
mollify          	enyhít           
mollusc          	puhatestû        
mollusk          	puhatestû        
molt             	vedlés           
molten           	olvadt           
mollycodle       	(el)kényeztet    
moment           	pillanat         
momentary        	pillanatnyi      
momentous        	fontos           
momentum         	mozzanat         
monarch          	egyeduralkodó    
monarchic        	monarchikus      
monarchical      	monarchikus      
monarchist       	királypárti      
monarchy         	monarchia        
monastery        	kolostor         
monastic         	kolostori        
monday           	hétfõ            
monday evening   	hétfõ(n) este    
monday morning   	hétfõ(n) reggel  
monetary         	pénzügyi         
money            	pénz             
money down       	készpénz/elõleg  
money exchange   	pénzváltás       
money is tight   	pénzszûke        
money on call    	napi pénz        
money order      	pénzesutalvány   
money transfer   	pénzátutalás     
money-bag        	pénzeszsák       
money-box        	persely          
money-changer    	pénzváltó        
moneyed          	pénzes           
money-grubber    	pénzsóvár        
money-grubbing   	anyagiasság      
moneylender      	pénzkölcsönzõ    
money-market     	pénzpiac         
money-order      	pénz(es)utalvány 
monger           	kereskedõ        
mongering        	kereskedés       
mongoose         	mongúz           
mongrel          	korcs            
monition         	figyelmeztetés   
monitor          	monitor          
monitoring       	felügyelés       
monitors         	felügyelõk       
monk             	szerzetes        
monkey           	majom            
monkey business  	gyanús dolog     
monkey-engine    	cölöpverõgép     
monkey-jacket    	zubbony          
monkey-nut       	földimogyoró     
monkey-puzzle    	szobafenyõ       
monkey-wrench    	franciakulcs     
monkish          	csuhás           
monkshood        	sisakvirág       
mono             	mono             
monocarp         	egynyári         
monochrome       	egyszínû         
monocle          	monokli          
monocotyledon    	egyszikû         
monody           	gyászdal         
monoecious       	egylaki          
monogamic        	egynejû          
monogamous       	egynejû          
monogamy         	egynejûség       
monogram         	névjel           
monograph        	monográfia       
monolingual      	egynyelvû        
monolith         	monolit          
monolithic       	masszív          
monolog          	magánbeszéd      
monologize       	monologizál      
monologue        	magánbeszéd      
monomania        	rögeszme         
